date,close,volume,count,capital
2011-06-08,140.35,469448000,206873,21640124000
2011-06-09,140.17,469058000,204946,22183813000
2011-06-10,138.31,493995000,213359,22352602000
2011-06-13,136.6,387297000,167555,16359535000
2011-06-14,138.12,374321000,156755,16161030000
2011-06-15,137.75,404700000,174536,17998659000
2011-06-16,135.27,385743000,168232,17056939000
2011-06-17,134.08,373175000,158786,15755066000
2011-06-20,130.46,435923000,184442,18646500000
2011-06-21,130.42,376899000,164844,15778311000
2011-06-22,132.23,343930000,154847,15355770000
2011-06-23,132.05,298422000,133744,13648922000
2011-06-24,131.89,308914000,124062,11650753000
2011-06-27,132.14,277952000,124727,12565372000
2011-06-28,132.64,293407000,133463,13702863000
2011-06-29,133.39,350261000,150011,14737245000
2011-06-30,134.08,323711000,140173,14090321000
2011-07-01,135.79,396830000,169670,18060651000
2011-07-04,135.89,353072000,148532,16458895000
2011-07-05,135.68,341770000,147770,16937442000
2011-07-06,136.67,405899000,174876,19245984000
2011-07-07,136.55,464173000,187649,20262034000
2011-07-08,135.82,428501000,178642,18964268000
2011-07-11,133.69,368669000,159097,15578819000
2011-07-12,129.71,437481000,175293,16341990000
2011-07-13,128.66,405166000,171389,16488317000
2011-07-14,127.07,412441000,172487,17149320000
2011-07-15,129.43,354893000,146849,13579165000
2011-07-18,128.89,304385000,131893,12563465000
2011-07-19,129.24,329436000,143036,14082711000
2011-07-20,131.31,406480000,166050,17211431000
2011-07-21,131.27,343221000,148859,15599043000
2011-07-22,132.19,427357000,173103,16718930000
2011-07-25,130.42,376624000,144329,13786457000
2011-07-26,131.82,392417000,158340,16502964000
2011-07-27,133.48,452683000,190515,20328868000
2011-07-28,132.99,398857000,170731,17109199000
2011-07-29,131.51,463097000,189470,19402441000
2011-08-01,132.16,379246000,156664,15697173000
2011-08-02,131.41,346569000,147046,14187637000
2011-08-03,129.39,437964000,178705,17125271000
2011-08-04,127.44,414011000,177671,18491353000
2011-08-05,119.52,521585000,177268,18400974000
2011-08-08,114.13,490807000,180079,17159631000
2011-08-09,111.85,550448000,193854,18077733000
2011-08-10,116.45,518524000,201564,18791482000
2011-08-11,115.54,449478000,177472,15799145000
2011-08-12,116.14,428868000,174735,16435917000
2011-08-15,117.89,349193000,143257,12554747000
2011-08-16,118.87,397076000,170232,15687898000
2011-08-17,117.74,340471000,144272,12747857000
2011-08-18,115.28,369697000,148600,13226629000
2011-08-19,109.41,381100000,147407,12608652000
2011-08-22,106.59,384723000,141316,11951603000
2011-08-23,109.98,384256000,154722,14369873000
2011-08-24,109.81,395241000,160537,15700411000
2011-08-25,107.54,342987000,146075,13649918000
2011-08-26,106.6,315832000,133421,11647701000
2011-08-29,108.47,286049000,123673,11077509000
2011-08-30,110.54,381587000,159072,14578162000
2011-08-31,111.51,377816000,163394,14263085000
2011-09-01,112.56,445314000,181030,16371264000
2011-09-02,112.92,345961000,144498,14261412000
2011-09-05,110.91,261673000,115368,10322889000
2011-09-06,108.15,288823000,125530,11619652000
2011-09-07,109.67,287404000,121541,10879638000
2011-09-08,109.78,277897000,118290,10992260000
2011-09-09,110.14,263965000,115748,10391814000
2011-09-13,107.55,250641000,108206,9381244000
2011-09-14,105.0,329038000,145910,12529331000
2011-09-15,106.45,286857000,123876,11882409000
2011-09-16,109.0,342278000,152140,14567811000
2011-09-19,107.73,245093000,105578,9086551000
2011-09-20,108.46,278722000,126510,11447210000
2011-09-21,109.24,321479000,147012,13657467000
2011-09-22,107.12,270820000,126909,10511114000
2011-09-23,102.87,380356000,156683,13701417000
2011-09-26,98.67,353577000,140328,11507544000
2011-09-27,100.07,321303000,139163,11693742000
2011-09-28,100.95,265085000,117451,9707552000
2011-09-29,101.8,290224000,132050,11125850000
2011-09-30,102.36,276632000,125303,10861329000
2011-10-03,100.28,227466000,107098,8483187000
2011-10-04,99.99,216892000,99930,7569567000
2011-10-05,99.58,197686000,96697,7853628000
2011-10-06,99.95,239475000,109788,9568047000
2011-10-07,100.61,250973000,115093,9691952000
2011-10-11,102.97,289619000,128524,10797234000
2011-10-12,103.53,288001000,136475,12840505000
2011-10-13,104.96,325938000,152543,14199256000
