date,open,high,low,close
2017-05-26,134.95,135.38,134.68,134.76
2017-05-31,134.86,135.4,134.44,134.82
2017-06-01,134.84,135.46,134.84,135.22
2017-06-02,135.36,136.45,135.36,136.28
2017-06-03,136.39,137.35,136.39,137.35
2017-06-05,137.4,138.34,137.4,138.25
2017-06-06,138.33,138.57,138.06,138.08
2017-06-07,138.16,138.6,137.69,137.89
2017-06-08,137.95,138.61,137.95,138.33
2017-06-09,138.38,138.73,137.64,137.64
2017-06-12,137.49,137.49,136.9,136.95
2017-06-13,136.98,137.53,136.34,136.34
2017-06-14,136.4,136.98,133.64,134.27
2017-06-15,134.23,134.6,133.63,134.34
2017-06-16,134.35,134.92,134.23,134.8
2017-06-19,134.84,135.84,134.84,135.49
2017-06-20,135.58,136.4,135.29,135.29
2017-06-21,135.3,135.7,135.13,135.68
2017-06-22,135.73,136.81,135.73,136.65
2017-06-23,136.69,137.23,136.18,136.18
2017-06-26,136.37,137.14,136.37,137.11
2017-06-27,137.14,137.55,136.98,137.01
2017-06-28,136.87,136.87,135.92,136.12
2017-06-29,136.26,137.1,135.67,135.69
2017-06-30,135.63,135.7,134.66,135.7
2017-07-03,135.72,136.1,135.47,135.49
2017-07-04,135.34,135.93,135.13,135.13
2017-07-05,135.16,135.51,134.55,135.15
2017-07-06,134.71,135.26,134.71,135.13
2017-07-07,134.91,134.97,134.14,134.17
2017-07-10,134.15,134.78,133.86,133.86
2017-07-11,133.92,134.41,133.92,133.99
2017-07-12,133.97,135.03,133.97,135.03
2017-07-13,134.98,135.99,134.98,135.55
2017-07-14,135.59,136.64,135.59,136.64
2017-07-17,136.67,137.48,136.67,136.9
2017-07-18,136.96,137.99,136.96,137.99
2017-07-19,137.95,138.58,137.73,137.89
2017-07-20,137.89,138.7,137.89,138.16
2017-07-21,138.15,138.89,138.14,138.61
2017-07-24,138.59,138.84,138.34,138.55
2017-07-25,138.57,139.24,138.56,139.23
2017-07-26,139.13,140.7,139.13,139.95
2017-07-27,139.83,140.51,139.83,140.23
2017-07-28,140.14,140.8,138.9,138.9
2017-07-31,138.92,139.42,138.78,139.17
2017-08-01,139.18,139.59,139.18,139.29
2017-08-02,139.37,140.02,139.37,139.71
2017-08-03,139.67,139.92,139.24,139.36
2017-08-04,139.4,140.05,139.32,139.46
2017-08-07,139.56,140.69,139.56,140.54
2017-08-08,140.66,141.24,139.6,139.76
2017-08-09,139.74,139.74,137.67,137.73
2017-08-10,137.66,137.97,134.54,134.72
2017-08-11,134.44,134.94,133.61,134.68
2017-08-14,134.7,135.36,131.3,131.3
2017-08-15,131.53,133.64,131.53,133.07
2017-08-16,133.05,134.15,132.83,133.78
2017-08-17,133.94,135.47,133.94,135.47
2017-08-18,135.29,135.34,134.16,135.34
2017-08-21,135.34,136.04,135.34,135.96
2017-08-22,136.05,137.04,136.05,136.44
2017-08-23,136.57,137.61,136.57,136.79
2017-08-24,136.78,137.83,136.78,137.63
2017-08-25,137.63,138.23,137.63,138.15
2017-08-28,138.07,138.95,138.07,138.61
2017-08-29,138.62,138.9,138.04,138.5
2017-08-30,138.6,139.53,138.6,138.94
2017-08-31,139.04,140.15,139.04,139.93
2017-09-01,140.03,141.08,140.03,140.8
2017-09-04,140.81,141.12,140.22,140.24
2017-09-05,140.33,141.98,140.33,141.98
2017-09-06,141.95,142.55,140.79,141.62
2017-09-07,141.76,142.67,140.55,140.55
2017-09-08,140.66,141.9,140.66,141.9
2017-09-11,141.99,143.05,141.38,141.46
2017-09-12,141.63,142.36,141.46,141.81
2017-09-13,141.94,142.69,141.21,141.25
2017-09-14,141.35,142.79,141.35,142.75
2017-09-15,142.84,143.43,142.49,142.67
